application_number,filing_date,invention_subject_matter,application_type,examiner_name_last,examiner_name_first,examiner_name_middle,examiner_id,examiner_art_unit,uspc_class,uspc_subclass,confirm_number,customer_number,atty_docket_number,appl_status_code,appl_status_date,file_location,file_location_date,earliest_pgpub_number,earliest_pgpub_date,wipo_pub_number,wipo_pub_date,patent_number,patent_issue_date,abandon_date,disposal_type,invention_title,small_entity_indicator,aia_first_to_file
PCT/US99/29098,1999-12-08,?,PCT,ALLEN,MARIANNE,P,97586,1631,514,044000,,None,GM10185,256,10nov2001 00:00:00,9200,2006-03-27,,,200037495,2000-06-29,,,,PEND,EF-TU,0,0
PCT/US99/29099,1999-12-08,?,PCT,PHAM,BRENDA,H,66324,2616,370,352000,,None,APP1142PC,256,10nov2001 00:00:00,9200,2006-03-27,,,200035157,2000-06-15,,,,PEND,SYSTEM AND METHOD OF GRADUAL TRANSITION OF LOCAL PHONE SERVICES FROM PSTN TO NEXT GENERATION,0,0
PCT/US99/29100,1999-12-08,?,PCT,None,None,None,,5331,000,000000,,None,NOR-BVO3497P,218,11feb2000 18:50:02,9200,2006-03-27,,,200035632,2000-06-22,,,,PEND,ABRASIVE ARTICLE BONDED USING A HYBRID BOND,0,0
PCT/US99/29101,1999-12-08,?,PCT,None,None,None,,5331,000,000000,,None,NOR-D3775PC,218,11feb2000 18:49:58,9200,2006-03-27,,,200035633,2000-06-22,,,,PEND,IMPROVED COATED ABRASIVE,0,0
PCT/US99/29102,1999-12-08,?,PCT,TO,TOAN,C,66975,3619,280,771000,,None,DP-301599,256,10nov2001 00:00:00,9200,2006-03-27,,,200034106,2000-06-15,,,,PEND,A VEHICLE STEERING COMMAND MODULE WITH AN ADJUSTABLE STEERING RIM DIAMETER,0,0
PCT/US99/29103,1999-12-08,?,PCT,LE,HUYEN,D,94537,2615,381,388000,,None,8266-0248,275,05sep2002 00:00:00,9200,2006-03-27,,,200035245,2000-06-15,,,,PEND,WATERPROOF HOUSING COVER FOR HOSPITAL BED,0,0
PCT/US99/29104,1999-12-08,?,PCT,CALCAGNI,JENNIFER,A,70751,1762,427,421000,,None,IL-10381 FOR,256,10nov2001 00:00:00,9200,2006-03-27,,,200039358,2000-07-06,,,,PEND,COLLOIDAL SPRAY METHOD FOR LOW COST THIN COATING DEPOSITION,0,0
PCT/US99/29105,1999-12-08,?,PCT,JEFFERY,JOHN,A,95011,3742,219,206000,,None,2872P0427POB,256,10nov2001 00:00:00,9200,2006-03-27,,,200034643,2000-06-15,,,,PEND,DROP-IN AIR HEATER,0,0
PCT/US99/29107,1999-12-07,?,PCT,None,None,None,,5331,000,000000,,None,3382-53880,218,01feb2000 18:49:14,9200,2006-03-27,,,200036753,2000-06-22,,,,PEND,MULTI-LEVEL RUN LENGTH CODING FOR FREQUENCY-DOMAIN AUDIO CODING,0,0
PCT/US99/29108,1999-12-07,?,PCT,None,None,None,,5331,000,000000,,None,3382-53882,218,01feb2000 18:49:08,9200,2006-03-27,,,200036752,2000-06-22,,,,PEND,VARIABLE TO VARIABLE LENGTH ENTROPY ENCODING,0,0
PCT/US99/29109,1999-12-07,?,PCT,None,None,None,,5331,000,000000,,None,3382-53879,218,01feb2000 18:49:04,9200,2006-03-27,,,200036754,2000-06-22,,,,PEND,ENTROPY CODE MODE SWITCHING FOR FREQUENCY-DOMAIN AUDIO CODING,0,0
PCT/US99/29110,1999-12-07,?,PCT,SAIDHA,TEKCHAND,,93847,1652,536,023200,,None,2653/27,256,10nov2001 00:00:00,9200,2006-03-27,,,200037608,2000-06-29,,,,PEND,MICRONOSPORA GENES ENCODING FOR BIOSYNTHESIS OF CALICHEAMICIN AND RESISTANCE THERETO,0,0
PCT/US99/29111,1999-12-08,?,PCT,MULL,FRED,H,96474,3648,342,351000,,None,044-008274WO,256,10nov2001 00:00:00,9200,2006-03-27,,,200037959,2000-06-29,,,,PEND,A PASSIVE TECHNIQUE FOR THE REMOTE DETECTION OF BURIED OBJECTS,0,0
PCT/US99/29112,1999-12-08,?,PCT,TO,TOAN,C,66975,3619,280,771000,,None,H-204691,256,10nov2001 00:00:00,9200,2006-03-27,,,200034105,2000-06-15,,,,PEND,A VEHICLE STEERING COMMAND MODULE,0,0
PCT/US99/29113,1999-12-08,?,PCT,None,None,None,,5331,000,000000,,None,KMC-232WO,218,20jan2000 18:48:23,9200,2006-03-27,,,200048553,2000-08-24,,,,PEND,HYDROPHILICALLY MODIFIED CURABLE SILICONE IMPRESSION MATERIAL,0,0
PCT/US99/29114,1999-12-07,?,PCT,None,None,None,,5331,000,000000,,None,53236-7-PCT,218,18jan2000 18:48:17,9200,2006-03-27,,,200034817,2000-06-15,,,,PEND,VIEWER WITH ENHANCED WIDE FIELD VIEW,0,0
PCT/US99/29115,1999-12-07,?,PCT,None,None,None,,5331,000,000000,,None,2907.MD.L/B,275,21apr2003 00:00:00,9200,2006-03-27,,,200036179,2000-06-22,,,,PEND,HIGH TEMPERATURE CHEMICAL VAPOR DEPOSITION CHAMBER,0,0
PCT/US99/29116,1999-12-07,?,PCT,None,None,None,,5331,000,000000,,None,M-7187 PCT,218,04feb2000 18:48:08,9200,2006-03-27,,,200035129,2000-06-15,,,,PEND,MANIFOLD ASSISTED CHANNEL ESTIMATION AND DEMODULATION FOR CDMA SYSTEMS IN FAST FADING,0,0
PCT/US99/29117,1999-12-07,?,PCT,PRIETO,BEATRIZ,,63155,2152,709,220000,,None,03845.P002Z,256,10nov2001 00:00:00,9200,2006-03-27,,,200034885,2000-06-15,,,,PEND,A METHOD AND APPARATUS FOR REMOTE INSTALLATION OF NETWORK DRIVERS AND SOFTWARE,0,0
PCT/US99/29118,1999-12-07,?,PCT,None,None,None,,5331,000,000000,,None,D273,218,10feb2000 18:47:51,9200,2006-03-27,,,200072523,2000-11-30,,,,PEND,METHOD AND APPARATUS FOR TRUNKING MULTIPLE PORTS IN A NETWORK SWITCH,0,0
