patent_id	citation_id	date
7196342	3961197	2007-03-27
7346093	3961197	2008-03-18
7838854	3961197	2010-11-23
7122816	3961197	2006-10-17
7297948	3961197	2007-11-20
7309871	3961197	2007-12-18
6980625	3961197	2005-12-27
7368741	3961197	2008-05-06
7247870	3961197	2007-07-24
7928417	3961197	2011-04-19
4875214	3961197	1989-10-17
7141806	3961197	2006-11-28
7465946	3961197	2008-12-16
8075732	3961197	2011-12-13
7365351	3961197	2008-04-29
7642533	3961197	2010-01-05
4831627	3961197	1989-05-16
7180081	3961197	2007-02-20
6815700	3961197	2004-11-09
6349128	3961197	2002-02-19
4553256	3961197	1985-11-12
4178524	3961197	1979-12-11
6172324	3961197	2001-01-09
7291853	3961197	2007-11-06
7193228	3961197	2007-03-20
6968038	3961197	2005-11-22
7087914	3961197	2006-08-08
6414438	3961197	2002-07-02
7180083	3961197	2007-02-20
7217940	3961197	2007-05-15
7598509	3961197	2009-10-06
7589337	3961197	2009-09-15
5866871	3961197	1999-02-02
6744060	3961197	2004-06-01
6051841	3961197	2000-04-18
5892810	3961197	1999-04-06
7453077	3961197	2008-11-18
7525111	3961197	2009-04-28
7388220	3961197	2008-06-17
6084198	3961197	2000-07-04
6586757	3961197	2003-07-01
7323703	3961197	2008-01-29
7449704	3961197	2008-11-11
7476887	3961197	2009-01-13
4771430	3961197	1988-09-13
7045791	3961197	2006-05-16
4598415	3961197	1986-07-01
4206364	3961197	1980-06-03
6804327	3961197	2004-10-12
7217941	3961197	2007-05-15
7317196	3961197	2008-01-08
7439530	3961197	2008-10-21
7088758	3961197	2006-08-08
7361918	3961197	2008-04-22
7365349	3961197	2008-04-29
7394083	3961197	2008-07-01
7449703	3961197	2008-11-11
5763930	3961197	1998-06-09
7402825	3961197	2008-07-22
7372056	3961197	2008-05-13
7405416	3961197	2008-07-29
7732793	3961197	2010-06-08
6566667	3961197	2003-05-20
6452199	3961197	2002-09-17
7355191	3961197	2008-04-08
7482609	3961197	2009-01-27
7109503	3961197	2006-09-19
7164144	3961197	2007-01-16
H0012009	3961197	1993-06-01
8461560	3961197	2013-06-11
5896407	3961197	1999-04-20
7378673	3961197	2008-05-27
6972421	3961197	2005-12-06
5616928	4178524	1997-04-01
4929281	4178524	1990-05-29
7400262	4178524	2008-07-15
8134476	4178524	2012-03-13
H0004073	4178524	1988-01-05
7777211	4178524	2010-08-17
6700298	4178524	2004-03-02
7936019	4178524	2011-05-03
9893226	4178524	2018-02-13
9239258	4178524	2016-01-19
9324897	4178524	2016-04-26
4967112	4178524	1990-10-30
5122332	4178524	1992-06-16
7335892	4178524	2008-02-26
9570644	4178524	2017-02-14
9744354	4178524	2017-08-29
8284075	4178524	2012-10-09
5861701	4178524	1999-01-19
8105868	4929281	2012-01-31
6841728	4929281	2005-01-11
5289999	4929281	1994-03-01
9741884	4929281	2017-08-22
8322025	4929281	2012-12-04
9893221	4929281	2018-02-13
5593901	4929281	1997-01-14
6118204	4967112	2000-09-12
8653715	4967112	2014-02-18
6238812	4967112	2001-05-29
6043426	4967112	2000-03-28
7193577	5122332	2007-03-20
9604848	5122332	2017-03-28
5280213	5122332	1994-01-18
9650251	5122332	2017-05-16
5859484	5122332	1999-01-12
9783421	5122332	2017-10-10
7702077	5122332	2010-04-20
9896341	5122332	2018-02-20
9221685	5122332	2015-12-29
9598286	5122332	2017-03-21
5616928	5122332	1997-04-01
9731970	5122332	2017-08-15
9796591	5122332	2017-10-24
9779845	5122332	2017-10-03
9556031	5122332	2017-01-31
9090472	5122332	2015-07-28
9475699	5122332	2016-10-25
7335892	5122332	2008-02-26
7852282	5122332	2010-12-14
6118204	5616928	2000-09-12
8071953	5616928	2011-12-06
6714617	5616928	2004-03-30
7852282	5616928	2010-12-14
8284075	5616928	2012-10-09
8134275	5616928	2012-03-13
8134476	5616928	2012-03-13
8653715	5616928	2014-02-18
7400262	5616928	2008-07-15
6238812	5616928	2001-05-29
9824785	5861701	2017-11-21
9640290	5861701	2017-05-02
6700298	5861701	2004-03-02
6593566	5861701	2003-07-15
8073097	6700298	2011-12-06
8094771	6700298	2012-01-10
6911711	6700298	2005-06-28
7963335	7400262	2011-06-21
9631487	7400262	2017-04-25
9494032	7400262	2016-11-15
8866317	7400262	2014-10-21
9903197	7400262	2018-02-27
9715024	7400262	2017-07-25
9828852	7400262	2017-11-28
9054826	7400262	2015-06-09
8179278	7400262	2012-05-15
9617849	7400262	2017-04-11
8794307	7400262	2014-08-05
8134476	7400262	2012-03-13
8890341	7400262	2014-11-18
9422809	7400262	2016-08-23
9494035	7400262	2016-11-15
9133707	7400262	2015-09-15
9422808	7400262	2016-08-23
8588619	7400262	2013-11-19
9574441	7400262	2017-02-21
9200500	7400262	2015-12-01
8242928	7400262	2012-08-14
9631488	7400262	2017-04-25
7730967	7400262	2010-06-08
8604634	7400262	2013-12-10
9206672	7400262	2015-12-08
9822631	7400262	2017-11-21
8941384	7400262	2015-01-27
9765609	7400262	2017-09-19
8704677	7400262	2014-04-22
8472282	7400262	2013-06-25
8797037	7400262	2014-08-05
9714569	7400262	2017-07-25
7810582	7400262	2010-10-12
9958849	7400262	2018-05-01
9670774	7400262	2017-06-06
9828854	7400262	2017-11-28
8841914	7400262	2014-09-23
9702242	7400262	2017-07-11
9879519	7400262	2018-01-30
9194207	7400262	2015-11-24
9732584	7400262	2017-08-15
8550186	7400262	2013-10-08
8439130	7400262	2013-05-14
8950787	8134476	2015-02-10
9540895	8134476	2017-01-10
9765609	8134476	2017-09-19
8564179	8284075	2013-10-22
9397588	8284075	2016-07-19
9587487	8284075	2017-03-07
9587486	8284075	2017-03-07
9913321	8284075	2018-03-06
9726009	8284075	2017-08-08
9752414	8284075	2017-09-05
9562429	8284075	2017-02-07
9765615	8284075	2017-09-19
9366134	8284075	2016-06-14
9920622	8284075	2018-03-20
9169705	8284075	2015-10-27
9284817	8284075	2016-03-15
8645571	8284075	2014-02-04
8794314	8284075	2014-08-05
9982530	8284075	2018-05-29
8973657	8284075	2015-03-10
8839871	8284075	2014-09-23
4317994	4206364	1982-03-02
5335258	4206364	1994-08-02
5832007	4206364	1998-11-03
4592056	4206364	1986-05-27
6831963	4206364	2004-12-14
6324255	4206364	2001-11-27
4803687	4206364	1989-02-07
6117401	4206364	2000-09-12
4837794	4317994	1989-06-06
4435828	4317994	1984-03-06
4612660	4317994	1986-09-16
4884290	4317994	1989-11-28
5805660	4317994	1998-09-08
5650616	4317994	1997-07-22
4642811	4317994	1987-02-10
4692938	4317994	1987-09-08
4717258	4317994	1988-01-05
6002744	4317994	1999-12-14
6998785	4592056	2006-02-14
5003544	4592056	1991-03-26
6804327	4592056	2004-10-12
7110174	4592056	2006-09-19
9036765	4592056	2015-05-19
6576917	4592056	2003-06-10
5016250	4592056	1991-05-14
4803687	4592056	1989-02-07
5499282	4592056	1996-03-12
4939744	4592056	1990-07-03
4977572	4592056	1990-12-11
6188076	4592056	2001-02-13
5963616	4592056	1999-10-05
6031241	4592056	2000-02-29
7110171	4592056	2006-09-19
4942580	4592056	1990-07-17
6414438	4592056	2002-07-02
4977572	4803687	1990-12-11
6906338	5335258	2005-06-14
6867419	5335258	2005-03-15
6678351	5335258	2004-01-13
7030398	5335258	2006-04-18
7782914	5335258	2010-08-24
9530605	5335258	2016-12-27
7317192	5335258	2008-01-08
RE37585	5335258	2002-03-19
6841777	5335258	2005-01-11
6980625	5335258	2005-12-27
5656186	5335258	1997-08-12
6333968	5335258	2001-12-25
6538257	5832007	2003-03-25
6980625	5832007	2005-12-27
6364228	5832007	2002-04-02
7308007	5832007	2007-12-11
9644465	6117401	2017-05-09
8981250	6117401	2015-03-17
8597523	6117401	2013-12-03
