patent_id	citation_id	date
5982801	4875214	1999-11-09
5317574	4875214	1994-05-31
7476887	5763930	2009-01-13
8526481	5763930	2013-09-03
7706424	5763930	2010-04-27
7365351	5763930	2008-04-29
7856044	5763930	2010-12-21
7465946	5763930	2008-12-16
6064072	5763930	2000-05-16
7141806	5763930	2006-11-28
7372056	5763930	2008-05-13
7217940	5763930	2007-05-15
7084412	5763930	2006-08-01
7323703	5763930	2008-01-29
6690706	5763930	2004-02-10
7449704	5763930	2008-11-11
7361918	5763930	2008-04-22
7642533	5763930	2010-01-05
7244954	5763930	2007-07-17
7378673	5763930	2008-05-27
7394083	5763930	2008-07-01
7732793	5763930	2010-06-08
7109503	5763930	2006-09-19
7368741	5763930	2008-05-06
7405416	5763930	2008-07-29
6202633	5763930	2001-03-20
8075732	5763930	2011-12-13
6590959	5763930	2003-07-08
6972421	5763930	2005-12-06
7482609	5763930	2009-01-27
7365349	5763930	2008-04-29
6414438	5763930	2002-07-02
6452194	5763930	2002-09-17
7217941	5763930	2007-05-15
6408052	5763930	2002-06-18
7781750	5763930	2010-08-24
7122816	5763930	2006-10-17
7015489	5763930	2006-03-21
7301980	5763930	2007-11-27
6964485	5763930	2005-11-15
6507641	5763930	2003-01-14
7247870	5763930	2007-07-24
7164144	5763930	2007-01-16
9000402	5763930	2015-04-07
8461560	5763930	2013-06-11
6998620	5763930	2006-02-14
6541786	5763930	2003-04-01
7598509	5763930	2009-10-06
6051841	5763930	2000-04-18
7453077	5763930	2008-11-18
9620920	5763930	2017-04-11
7180081	5763930	2007-02-20
7402825	5763930	2008-07-22
7518132	5763930	2009-04-14
8446928	5763930	2013-05-21
7088758	5763930	2006-08-08
6804327	5763930	2004-10-12
7525111	5763930	2009-04-28
7385211	5763930	2008-06-10
7701555	5763930	2010-04-20
7388220	5763930	2008-06-17
7449703	5763930	2008-11-11
7460212	5763930	2008-12-02
7317196	5763930	2008-01-08
7087914	5763930	2006-08-08
7535948	5763930	2009-05-19
7928417	5763930	2011-04-19
7355191	5763930	2008-04-08
7671349	5763930	2010-03-02
8629417	5763930	2014-01-14
7291853	5763930	2007-11-06
8648536	5763930	2014-02-11
7439530	5763930	2008-10-21
7838854	5763930	2010-11-23
7655925	5763930	2010-02-02
6576917	5763930	2003-06-10
7196342	5763930	2007-03-27
7812329	5763930	2010-10-12
6894298	5763930	2005-05-17
6444984	5763930	2002-09-03
7633989	5763930	2009-12-15
7321126	5763930	2008-01-22
6815700	5763930	2004-11-09
8035092	5763930	2011-10-11
8519366	5763930	2013-08-27
6927403	5763930	2005-08-09
7193228	5763930	2007-03-20
7091505	5763930	2006-08-15
6469310	5763930	2002-10-22
7346093	5763930	2008-03-18
8198615	5763930	2012-06-12
7589337	5763930	2009-09-15
7180083	5763930	2007-02-20
7002168	5763930	2006-02-21
7217941	5866871	2007-05-15
