patent_id	citation_id	date
8461560	3961197	2013-06-11
6349128	3961197	2002-02-19
6084198	3961197	2000-07-04
6452199	3961197	2002-09-17
7368741	3961197	2008-05-06
7439530	3961197	2008-10-21
7838854	3961197	2010-11-23
7449704	3961197	2008-11-11
7476887	3961197	2009-01-13
4831627	3961197	1989-05-16
7355191	3961197	2008-04-08
6566667	3961197	2003-05-20
7217940	3961197	2007-05-15
7346093	3961197	2008-03-18
6414438	3961197	2002-07-02
6586757	3961197	2003-07-01
7180083	3961197	2007-02-20
7317196	3961197	2008-01-08
7388220	3961197	2008-06-17
5896407	3961197	1999-04-20
4206364	3961197	1980-06-03
7405416	3961197	2008-07-29
7291853	3961197	2007-11-06
7087914	3961197	2006-08-08
7217941	3961197	2007-05-15
7180081	3961197	2007-02-20
4771430	3961197	1988-09-13
6980625	3961197	2005-12-27
7045791	3961197	2006-05-16
7309871	3961197	2007-12-18
6815700	3961197	2004-11-09
7365351	3961197	2008-04-29
7323703	3961197	2008-01-29
5866871	3961197	1999-02-02
7482609	3961197	2009-01-27
7109503	3961197	2006-09-19
4875214	3961197	1989-10-17
7394083	3961197	2008-07-01
7402825	3961197	2008-07-22
7247870	3961197	2007-07-24
7525111	3961197	2009-04-28
4553256	3961197	1985-11-12
7598509	3961197	2009-10-06
7465946	3961197	2008-12-16
7088758	3961197	2006-08-08
7449703	3961197	2008-11-11
5892810	3961197	1999-04-06
6172324	3961197	2001-01-09
7589337	3961197	2009-09-15
7141806	3961197	2006-11-28
6972421	3961197	2005-12-06
7928417	3961197	2011-04-19
7378673	3961197	2008-05-27
6051841	3961197	2000-04-18
7164144	3961197	2007-01-16
7732793	3961197	2010-06-08
7361918	3961197	2008-04-22
H0012009	3961197	1993-06-01
7196342	3961197	2007-03-27
7365349	3961197	2008-04-29
6804327	3961197	2004-10-12
7122816	3961197	2006-10-17
8075732	3961197	2011-12-13
6744060	3961197	2004-06-01
7453077	3961197	2008-11-18
7372056	3961197	2008-05-13
7193228	3961197	2007-03-20
7297948	3961197	2007-11-20
5763930	3961197	1998-06-09
7642533	3961197	2010-01-05
4598415	3961197	1986-07-01
6968038	3961197	2005-11-22
4178524	3961197	1979-12-11
9893226	4178524	2018-02-13
9324897	4178524	2016-04-26
4929281	4178524	1990-05-29
8134476	4178524	2012-03-13
5122332	4178524	1992-06-16
5861701	4178524	1999-01-19
9239258	4178524	2016-01-19
9570644	4178524	2017-02-14
7777211	4178524	2010-08-17
8284075	4178524	2012-10-09
5616928	4178524	1997-04-01
7936019	4178524	2011-05-03
9744354	4178524	2017-08-29
H0004073	4178524	1988-01-05
4967112	4178524	1990-10-30
7335892	4178524	2008-02-26
7400262	4178524	2008-07-15
6700298	4178524	2004-03-02
4317994	4206364	1982-03-02
6324255	4206364	2001-11-27
5335258	4206364	1994-08-02
6117401	4206364	2000-09-12
6831963	4206364	2004-12-14
5832007	4206364	1998-11-03
4592056	4206364	1986-05-27
4803687	4206364	1989-02-07
4778561	4553256	1988-10-18
4947085	4553256	1990-08-07
6765987	4553256	2004-07-20
7323821	4553256	2008-01-29
5323442	4553256	1994-06-21
6327338	4553256	2001-12-04
5355399	4553256	1994-10-11
5838760	4553256	1998-11-17
5577090	4553256	1996-11-19
6094472	4598415	2000-07-25
6035015	4598415	2000-03-07
8003949	4598415	2011-08-23
7382861	4598415	2008-06-03
5894503	4598415	1999-04-13
8576982	4598415	2013-11-05
5949836	4598415	1999-09-07
RE37899	4598415	2002-11-05
6327335	4598415	2001-12-04
8995619	4598415	2015-03-31
9535016	4598415	2017-01-03
6422748	4598415	2002-07-23
5197071	4598415	1993-03-23
7486984	4598415	2009-02-03
7643609	4598415	2010-01-05
8199996	4598415	2012-06-12
4975917	4598415	1990-12-04
7095820	4598415	2006-08-22
9832851	4598415	2017-11-28
9986627	4598415	2018-05-29
5247562	4598415	1993-09-21
7277526	4598415	2007-10-02
7924979	4598415	2011-04-12
7310408	4598415	2007-12-18
5602894	4598415	1997-02-11
9182516	4598415	2015-11-10
4998268	4598415	1991-03-05
6125295	4598415	2000-09-26
9706631	4598415	2017-07-11
8135112	4598415	2012-03-13
6226354	4598415	2001-05-01
7639785	4598415	2009-12-29
8934608	4598415	2015-01-13
8350226	4598415	2013-01-08
7532649	4598415	2009-05-12
9891314	4598415	2018-02-13
8774362	4598415	2014-07-08
5748700	4598415	1998-05-05
8658991	4598415	2014-02-25
8148693	4598415	2012-04-03
7301972	4598415	2007-11-27
7596208	4598415	2009-09-29
8401147	4598415	2013-03-19
5825847	4598415	1998-10-20
6421420	4598415	2002-07-16
6366801	4598415	2002-04-02
7016470	4598415	2006-03-21
9058909	4598415	2015-06-16
5227733	4598415	1993-07-13
7551718	4598415	2009-06-23
7826589	4598415	2010-11-02
6208704	4598415	2001-03-27
5815547	4598415	1998-09-29
9769913	4598415	2017-09-19
9291741	4598415	2016-03-22
8654922	4598415	2014-02-18
5353291	4598415	1994-10-04
9285325	4598415	2016-03-15
6332017	4598415	2001-12-18
6542574	4598415	2003-04-01
5537452	4598415	1996-07-16
7027553	4598415	2006-04-11
8842808	4598415	2014-09-23
9983151	4598415	2018-05-29
7295653	4598415	2007-11-13
8576989	4598415	2013-11-05
5495515	4598415	1996-02-27
6326861	4598415	2001-12-04
5177774	4771430	1993-01-05
5569916	4771430	1996-10-29
5394411	4771430	1995-02-28
6157701	4771430	2000-12-05
5293396	4771430	1994-03-08
4979203	4771430	1990-12-18
5204506	4771430	1993-04-20
6999487	4831627	2006-02-14
5317574	4875214	1994-05-31
5321715	4875214	1994-06-14
5982801	4875214	1999-11-09
7453077	5763930	2008-11-18
6894298	5763930	2005-05-17
7525111	5763930	2009-04-28
7476887	5763930	2009-01-13
6964485	5763930	2005-11-15
7323703	5763930	2008-01-29
9000402	5763930	2015-04-07
7247870	5763930	2007-07-24
7317196	5763930	2008-01-08
7291853	5763930	2007-11-06
6444984	5763930	2002-09-03
7015489	5763930	2006-03-21
6815700	5763930	2004-11-09
8198615	5763930	2012-06-12
8648536	5763930	2014-02-11
7372056	5763930	2008-05-13
6576917	5763930	2003-06-10
7361918	5763930	2008-04-22
6804327	5763930	2004-10-12
